Tree ID;Species Name;DBH (cm);Replacement Value (€);Carbon Storage (kg);Carbon Storage (€);Gross Carbon Sequestration (kg/yr);Gross Carbon Sequestration (€/yr);Avoided Runoff (m^3/yr);Avoided Runoff (€/yr);Carbon Avoided (kg/yr);Carbon Avoided (€/yr);Pollution Removal (g/yr);Pollution Removal (€/yr);Energy Savings (€/yr);Total Annual Benefits (€/yr)
3224526;Picea abies;33,2;1 816,10;301,2;48,39;7,1;1,14;1,0;1,85;N/A;N/A;219,7;0,93;N/A;3,92
3225160;Picea abies;10,9;452,41;27,8;4,46;1,8;0,29;0,1;0,18;N/A;N/A;21,5;0,09;N/A;0,56
3225161;Picea abies;9,6;265,39;21,7;3,49;1,5;0,25;0,1;0,14;N/A;N/A;16,9;0,07;N/A;0,46
3225162;Picea abies;9,0;233,25;19,2;3,09;1,4;0,23;0,1;0,13;N/A;N/A;15,0;0,06;N/A;0,42
3225163;Picea abies;12,8;514,85;38,4;6,17;2,2;0,35;0,1;0,25;N/A;N/A;29,3;0,12;N/A;0,73
3225164;Picea abies;9,9;282,23;23,0;3,70;1,6;0,26;0,1;0,15;N/A;N/A;17,9;0,08;N/A;0,48
3225165;Picea abies;9,3;249,06;20,4;3,28;1,5;0,24;0,1;0,13;N/A;N/A;15,9;0,07;N/A;0,44
3225166;Picea abies;13,4;536,65;42,2;6,78;2,3;0,38;0,1;0,27;N/A;N/A;32,1;0,14;N/A;0,78
3225167;Picea abies;21,7;940,63;118,4;19,02;4,2;0,68;0,4;0,74;N/A;N/A;87,8;0,37;N/A;1,79
3225168;Picea abies;19,5;814,94;93,8;15,07;3,7;0,59;0,3;0,59;N/A;N/A;69,7;0,29;N/A;1,48
3225169;Picea abies;19,5;814,94;93,8;15,07;3,7;0,59;0,3;0,59;N/A;N/A;69,7;0,29;N/A;1,48
3225170;Picea abies;22,3;977,24;125,6;20,19;4,4;0,70;0,4;0,79;N/A;N/A;93,1;0,39;N/A;1,88
3225171;Picea abies;21,4;922,70;114,8;18,45;4,1;0,67;0,4;0,72;N/A;N/A;85,2;0,36;N/A;1,74
3225172;Picea abies;16,6;669,77;66,3;10,66;3,0;0,49;0,2;0,42;N/A;N/A;49,7;0,21;N/A;1,12
3225173;Picea abies;24,6;1 126,82;155,8;25,03;4,9;0,79;0,5;0,97;N/A;N/A;115,3;0,49;N/A;2,25
3225174;Picea abies;15,3;612,27;55,8;8,96;2,7;0,44;0,2;0,35;N/A;N/A;42,0;0,18;N/A;0,97
3225175;Picea abies;23,6;1 059,98;142,2;22,85;4,7;0,75;0,5;0,89;N/A;N/A;105,3;0,44;N/A;2,08
3225176;Picea abies;28,1;1 382,59;208,7;33,53;5,8;0,93;0,7;1,30;N/A;N/A;154,0;0,65;N/A;2,88
3225177;Picea abies;9,0;233,25;19,2;3,09;1,4;0,23;0,1;0,13;N/A;N/A;15,0;0,06;N/A;0,42
3225179;Picea abies;24,3;1 106,47;151,6;24,36;4,8;0,78;0,5;0,95;N/A;N/A;112,3;0,47;N/A;2,20
3225180;Picea abies;11,2;461,60;29,3;4,71;1,9;0,30;0,1;0,19;N/A;N/A;22,6;0,10;N/A;0,59
3226112;Prunus cerasifera;29,3;1 206,65;291,4;46,82;13,6;2,19;0,7;1,37;N/A;N/A;162,2;0,68;N/A;4,24
3226113;Prunus avium;51,3;2 961,09;1 139,9;183,15;0,7;0,11;1,1;2,18;N/A;N/A;258,3;1,09;N/A;3,38
3226118;Prunus avium;14,4;562,41;51,7;8,30;5,0;0,80;0,1;0,26;N/A;N/A;30,3;0,13;N/A;1,18
3226119;Prunus avium;62,5;4 222,17;1 843,9;296,25;0,9;0,14;1,3;2,51;N/A;N/A;297,8;1,26;N/A;3,91
3226120;Prunus avium;27,4;1 100,06;247,5;39,77;12,4;1,99;0,4;0,82;N/A;N/A;97,5;0,41;N/A;3,22
